register_name,address
MPU_RGD1_WORD2,0x4000d418
MPU_RGD1_WORD3,0x4000d41c
MPU_RGD2_WORD0,0x4000d420
MPU_RGD2_WORD1,0x4000d424
MPU_RGD2_WORD2,0x4000d428
MPU_RGD2_WORD3,0x4000d42c
MPU_RGD3_WORD0,0x4000d430
MPU_RGD3_WORD1,0x4000d434
MPU_RGD3_WORD2,0x4000d438
MPU_RGD3_WORD3,0x4000d43c
MPU_RGD4_WORD0,0x4000d440
MPU_RGD4_WORD1,0x4000d444
MPU_RGD4_WORD2,0x4000d448
MPU_RGD4_WORD3,0x4000d44c
MPU_RGD5_WORD0,0x4000d450
MPU_RGD5_WORD1,0x4000d454
MPU_RGD5_WORD2,0x4000d458
MPU_RGD5_WORD3,0x4000d45c
MPU_RGD6_WORD0,0x4000d460
MPU_RGD6_WORD1,0x4000d464
MPU_RGD6_WORD2,0x4000d468
MPU_RGD6_WORD3,0x4000d46c
MPU_RGD7_WORD0,0x4000d470
MPU_RGD7_WORD1,0x4000d474
MPU_RGD7_WORD2,0x4000d478
MPU_RGD7_WORD3,0x4000d47c
MPU_RGD8_WORD0,0x4000d480
MPU_RGD8_WORD1,0x4000d484
MPU_RGD8_WORD2,0x4000d488
MPU_RGD8_WORD3,0x4000d48c
MPU_RGD9_WORD0,0x4000d490
MPU_RGD9_WORD1,0x4000d494
MPU_RGD9_WORD2,0x4000d498
MPU_RGD9_WORD3,0x4000d49c
MPU_RGD10_WORD0,0x4000d4a0
MPU_RGD10_WORD1,0x4000d4a4
MPU_RGD10_WORD2,0x4000d4a8
MPU_RGD10_WORD3,0x4000d4ac
MPU_RGD11_WORD0,0x4000d4b0
MPU_RGD11_WORD1,0x4000d4b4
MPU_RGD11_WORD2,0x4000d4b8
MPU_RGD11_WORD3,0x4000d4bc
MPU_RGDAAC0,0x4000d800
MPU_RGDAAC1,0x4000d804
MPU_RGDAAC2,0x4000d808
MPU_RGDAAC3,0x4000d80c
MPU_RGDAAC4,0x4000d810
